event_id,state,region
BayofBengal-Cyclone-Mocha-May-23,,AsiaSouthEast-Full
Emilia-Romagna-Italy-flooding-may23,ITA,Europe-Full
Gambia-flooding-8-11-2022,GMB,AfricaWest-Full
Hurricane-Fiona-9-19-2022,PRI,CaribbeanIslands-Full
Hurricane-Ian-9-26-2022,,USA
Hurricane-Idalia-Florida-Aug23,,USA
India-Floods-Oct-2023,,AsiaSouth-Full
Indonesia-Earthquake22,,AsiaSouthEast-Full
Kahramanmaras-turkey-earthquake-23,,MiddleEast-Full
Kalehe-DRC-Flooding-5-8-23,,AfricaCenter-Full
Libya-Floods-Sept-2023,,AfricaNorth-Full
Marshall-Fire-21-Update,,USA
Maui-Hawaii-fires-Aug-23,,USA
McDougallCreekWildfire-BC-Canada-Aug-23,,Canada-Full
Morocco-Earthquake-Sept-2023,,AfricaNorth-Full
NWT-Canada-Aug-23,,Canada-Full
New-Zealand-Flooding22,,Oceania-Full
New-Zealand-Flooding23,,Oceania-Full
Sudan-flooding-8-22-2022,,AfricaEast-Full
afghanistan-earthquake22,,MiddleEast-Full
cyclone-emnati22,,AfricaEast-Full
ghana-explosion22,,AfricaWest-Full
kentucky-flooding-7-29-2022,,USA
pakistan-flooding22,,MiddleEast-Full
shovi-georgia-landslide-8Aug23,,MiddleEast-Full/Europe-Full
southafrica-flooding22,,AfricaSouth-Full
tonga-volcano21,,Oceania-Full
volcano-indonesia21,,AsiaSouthEast-Full
yellowstone-flooding22,,USA




